movie_id,imdb_id,tmdb_id,rating,average_rating,title
2511,0070334,1847,3.0,3.84922,The Long Goodbye (1973)
2527,0070909,2362,3.5,3.4197,Westworld (1973)
2553,0054443,11773,3.5,3.41302,Village of the Damned (1960)
2557,0157016,1567,3.0,3.76258,I Stand Alone (1998)
2571,0133093,603,4.0,4.15152,The Matrix (1999)
2594,0125659,1902,3.5,3.89102,Open Your Eyes (1997)
2628,0120915,1893,2.5,3.0842,Star Wars: Episode I - The Phantom Menace (1999)
2664,0049366,11549,3.5,3.7542,Invasion of the Body Snatchers (1956)
2692,0130827,104,4.0,3.97115,Run Lola Run (1998)
2707,0137363,1073,4.0,3.44821,Arlington Road (1999)
2710,0185937,2667,3.0,2.89406,The Blair Witch Project (1999)
2712,0120663,345,4.5,3.25529,Eyes Wide Shut (1999)
2762,0167404,745,4.0,4.01398,The Sixth Sense (1999)
2810,0156887,10494,4.0,3.86876,Perfect Blue (1997)
2858,0169547,14,4.0,4.11835,American Beauty (1999)
2871,0068473,10669,3.0,3.77369,Deliverance (1972)
2959,0137523,550,4.0,4.2321,Fight Club (1999)
2966,0166896,404,3.5,3.9382,The Straight Story (1999)
2997,0120601,492,4.0,3.93165,Being John Malkovich (1999)
3000,0119698,128,4.0,4.1313,Princess Mononoke (1997)
3018,0089885,1694,2.0,3.50806,Re-Animator (1985)
3075,0059646,11481,4.0,3.85102,Repulsion (1965)
3147,0120689,497,4.0,4.03119,The Green Mile (1999)
3160,0175880,334,3.5,3.86184,Magnolia (1999)
3262,0105665,1923,2.0,3.56106,Twin Peaks: Fire Walk with Me (1992)
3272,0103759,12143,3.0,3.31702,Bad Lieutenant (1992)
3275,0144117,8374,2.0,3.88941,The Boondock Saints (1999)
3362,0072890,968,4.0,3.95917,Dog Day Afternoon (1975)
3476,0099871,2291,2.5,3.67556,Jacob's Ladder (1990)
3535,0144084,1359,3.5,3.59979,American Psycho (2000)
3546,0056687,10242,3.0,3.78088,What Ever Happened to Baby Jane? (1962)
3556,0159097,1443,3.5,3.64629,The Virgin Suicides (2000)
3578,0172495,98,3.5,3.9578,Gladiator (2000)
3621,0082933,21484,1.5,3.66914,Possession (1981)
3676,0074486,985,2.5,3.64147,Eraserhead (1977)
3683,0086979,11368,3.5,4.00524,Blood Simple (1984)
3702,0079501,9659,3.5,3.52484,Mad Max (1979)
3703,0082694,8810,4.0,3.64525,Mad Max 2 (1981)
3704,0089530,9355,2.0,3.12201,Mad Max Beyond Thunderdome (1985)
3706,0092563,635,3.0,3.5723,Angel Heart (1987)
3730,0071360,592,3.5,4.04351,The Conversation (1974)
3740,0090728,6978,3.0,3.4864,Big Trouble in Little China (1986)
3741,0069762,3133,2.5,3.99097,Badlands (1973)
3875,0062885,39891,3.5,3.32278,The Devil Rides Out (1968)
3882,0204946,1588,2.5,3.03754,Bring It On (2000)
3949,0180093,641,4.5,3.99806,Requiem for a Dream (2000)
3994,0217869,9741,3.5,3.48852,Unbreakable (2000)
4011,0208092,107,3.5,4.06469,Snatch (2000)
4105,0083907,764,1.0,3.69943,The Evil Dead (1981)
4144,0118694,843,2.5,4.03976,In the Mood for Love (2000)
4210,0091474,11454,3.5,3.5807,Manhunter (1986)
4226,0209144,77,4.0,4.15297,Memento (2000)
4239,0221027,4133,3.0,3.73057,Blow (2001)
4306,0126029,808,4.0,3.76536,Shrek (2001)
4437,0076786,11906,2.5,3.66214,Suspiria (1977)
4552,0096251,41428,3.0,3.49216,Tetsuo: The Iron Man (1989)
4658,0098253,19236,3.0,3.68036,Santa Sangre (1989)
4720,0230600,1933,4.0,3.71128,The Others (2001)
4754,0070917,16307,3.5,3.72441,The Wicker Man (1973)
4848,0166924,1018,5.0,3.83298,Mulholland Drive (2001)
4868,0263101,3173,3.5,2.90076,Bangkok Dangerous (1999)
4878,0246578,141,4.0,3.96214,Donnie Darko (2001)
4886,0198781,585,3.5,3.85031,"Monsters, Inc. (2001)"
4896,0241527,671,4.0,3.6804,Harry Potter and the Philosopher's Stone (2001)
4902,0256009,1433,3.5,3.72339,The Devil's Backbone (2001)
4963,0240772,161,3.5,3.80664,Ocean's Eleven (2001)
4973,0211915,194,3.5,4.11262,Amélie (2001)
4993,0120737,120,4.5,4.09625,The Lord of the Rings: The Fellowship of the Ring (2001)
4995,0268978,453,3.5,3.96486,A Beautiful Mind (2001)
5378,0121765,1894,2.0,3.0609,Star Wars: Episode II - Attack of the Clones (2002)
